NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
PHF8	1	ENSG00000172943	
ENPP1	1	ENSG00000197594	
RBL2	1	ENSG00000103479	
OCRL	1	ENSG00000122126	
FBXO41	1	ENSG00000163013	
HSDL1	1	ENSG00000103160	
SCAMP1	1	ENSG00000085365	
SPATA6	1	ENSG00000132122	
MEF2A	1	ENSG00000068305	
UACA	1	ENSG00000137831	
SLC39A14	1	ENSG00000104635	
ERLEC1	1	ENSG00000068912	
JAM3	1	ENSG00000166086	
SLC2A10	1	ENSG00000197496	
ZNF761	1	ENSG00000160336	
TAOK1	1	ENSG00000160551	
BEX4	1	ENSG00000102409	
PATZ1	1	ENSG00000100105	
ELP2	1	ENSG00000134759	
LNPEP	1	ENSG00000113441	
ALG2	1	ENSG00000119523	
STRBP	1	ENSG00000165209	
ARL8B	1	ENSG00000134108	
UHMK1	1	ENSG00000152332	
RNF185	1	ENSG00000138942	
PKN2	1	ENSG00000065243	
ITSN2	1	ENSG00000198399	
WNK1	1	ENSG00000060237	
CDK5RAP2	1	ENSG00000136861	
DHRS4	1	ENSG00000157326	
FAM118A	1	ENSG00000100376	
NKTR	1	ENSG00000114857	
DNAJC10	1	ENSG00000077232	
STX7	1	ENSG00000079950	
SCARB2	1	ENSG00000138760	
EIF4E3	1	ENSG00000163412	
KBTBD7	1	ENSG00000120696	
ADD3	1	ENSG00000148700	
FOXO3	1	ENSG00000118689	
POLR1H	1	ENSG00000066379	
SEPTIN8	1	ENSG00000164402	
NIPBL	1	ENSG00000164190	
PBX1	1	ENSG00000185630	
GATAD1	1	ENSG00000157259	
FAM172A	1	ENSG00000113391	
JMY	1	ENSG00000152409	
AGL	1	ENSG00000162688	
CCP110	1	ENSG00000103540	
NIPSNAP2	1	ENSG00000146729	
MESD	1	ENSG00000117899	
EIF3L	1	ENSG00000100129	
AHSA2P	1	ENSG00000173209	
EDEM1	1	ENSG00000134109	
ZFYVE9	1	ENSG00000157077	
DPY19L4	1	ENSG00000156162	
CDK6	1	ENSG00000105810	
GPR160	1	ENSG00000173890	
SLC25A22	1	ENSG00000177542	
SLC25A20	1	ENSG00000178537	
ZNF254	1	ENSG00000213096	
FRMD8	1	ENSG00000126391	
SLC19A1	1	ENSG00000173638	
UFL1	1	ENSG00000014123	
SLC38A1	1	ENSG00000111371	
DENND4C	1	ENSG00000137145	
TMEM245	1	ENSG00000106771	
SV2A	1	ENSG00000159164	
ICE2	1	ENSG00000128915	
BUB1B	1	ENSG00000156970	
ZNF275	1	ENSG00000063587	
TDRP	1	ENSG00000180190	
ESRP1	1	ENSG00000104413	
TMEM229B	1	ENSG00000198133	
MTMR12	1	ENSG00000150712	
FOCAD	1	ENSG00000188352	
GOLGA5	1	ENSG00000066455	
DDIT4	1	ENSG00000168209	
RRAGD	1	ENSG00000025039	
NCSTN	1	ENSG00000162736	
PPIB	1	ENSG00000166794	
DDX18	1	ENSG00000088205	
HSP90B1	1	ENSG00000166598	
TGOLN2	1	ENSG00000152291	
ERMP1	1	ENSG00000099219	
THAP5	1	ENSG00000177683	
KLHDC10	1	ENSG00000128607	
EDEM3	1	ENSG00000116406	
COPZ1	1	ENSG00000111481	
ZNF644	1	ENSG00000122482	
CHRNA7	1	ENSG00000175344	
CDKN1B	1	ENSG00000111276	
ELK4	1	ENSG00000158711	
CREG1	1	ENSG00000143162	
GNPDA1	1	ENSG00000113552	
CFAP126	1	ENSG00000188931	
IBTK	1	ENSG00000005700	
SLC40A1	1	ENSG00000138449	
MOB1A	1	ENSG00000114978	
RCOR3	1	ENSG00000117625	
THUMPD1	1	ENSG00000066654	
MED28	1	ENSG00000118579	
SATB1	1	ENSG00000182568	
LCA5	1	ENSG00000135338	
FAM220A	1	ENSG00000178397	
ELMOD2	1	ENSG00000179387	
FAM210B	1	ENSG00000124098	
STAMBP	1	ENSG00000124356	
RHBDD1	1	ENSG00000144468	
CRAT	1	ENSG00000095321	
HSPA5	1	ENSG00000044574	
WASL	1	ENSG00000106299	
HEXB	1	ENSG00000049860	
RHNO1	1	ENSG00000171792	
TRAPPC11	1	ENSG00000168538	
PDIA6	1	ENSG00000143870	
PTPRM	1	ENSG00000173482	
CEP63	1	ENSG00000182923	
TMF1	1	ENSG00000144747	
ZNF260	1	ENSG00000254004	
TMEM106B	1	ENSG00000106460	
SAR1B	1	ENSG00000152700	
LRRC23	1	ENSG00000010626	
AKAP11	1	ENSG00000023516	
NADK2	1	ENSG00000152620	
RPS29P3	1	ENSG00000225770	
FAM219B	1	ENSG00000178761	
NUDT21	1	ENSG00000167005	
NHLRC3	1	ENSG00000188811	
ZNF765	1	ENSG00000196417	
TBC1D5	1	ENSG00000131374	
NUFIP2	1	ENSG00000108256	
SEC63P1	1	ENSG00000228057	
AP1S2	1	ENSG00000182287	
ATM	1	ENSG00000149311	
XIAP	1	ENSG00000101966	
ERV3-1	1	ENSG00000213462	
CNOT6L	1	ENSG00000138767	
PALS1	1	ENSG00000072415	
FUBP3	1	ENSG00000107164	
DVL3	1	ENSG00000161202	
TVP23B	1	ENSG00000171928	
LIN54	1	ENSG00000189308	
UBXN7	1	ENSG00000163960	
PDXK	1	ENSG00000160209	
SDHD	1	ENSG00000204370	
STX17	1	ENSG00000136874	
UGGT1	1	ENSG00000136731	
GPR155	1	ENSG00000163328	
APBB2	1	ENSG00000163697	
RIMOC1	1	ENSG00000205765	
DZIP3	1	ENSG00000198919	
DENND1B	1	ENSG00000213047	
STAT2	1	ENSG00000170581	
SEC14L6	1	ENSG00000214491	
ZC3H11B	1	ENSG00000215817	
SEC62	1	ENSG00000008952	
MON1B	1	ENSG00000103111	
HSPA13	1	ENSG00000155304	
RNF10	1	ENSG00000022840	
AKAP9	1	ENSG00000127914	
CERT1	1	ENSG00000113163	
NRIP1	1	ENSG00000180530	
KIDINS220	1	ENSG00000134313	
RNF141	1	ENSG00000110315	
SCDP1	1	ENSG00000226549	
SCP2	1	ENSG00000116171	
GBA1	1	ENSG00000177628	
ALDH3A2	1	ENSG00000072210	
ECPAS	1	ENSG00000136813	
STX16	1	ENSG00000124222	
SEPTIN5	1	ENSG00000184702	
MKLN1	1	ENSG00000128585	
SLC41A1	1	ENSG00000133065	
TSPAN9	1	ENSG00000011105	
TMEM183BP	1	ENSG00000224831	
UBP1	1	ENSG00000153560	
NCKAP1	1	ENSG00000061676	
SLC25A36	1	ENSG00000114120	
AP1AR	1	ENSG00000138660	
PNISR	1	ENSG00000132424	
ARHGEF3	1	ENSG00000163947	
EXD2	1	ENSG00000081177	
FKBP9	1	ENSG00000122642	
CLOCK	1	ENSG00000134852	
CCDC186	1	ENSG00000165813	
ARL6IP5	1	ENSG00000144746	
PDS5A	1	ENSG00000121892	
RALGPS1	1	ENSG00000136828	
TMEM170B	1	ENSG00000205269	
NEU1	1	ENSG00000204386	
ATF2	1	ENSG00000115966	
RORA	1	ENSG00000069667	
TLK1	1	ENSG00000198586	
LARP1B	1	ENSG00000138709	
HINT3	1	ENSG00000111911	
CDKN2AIP	1	ENSG00000168564	
EIF1	1	ENSG00000173812	
BRD7P2	1	ENSG00000184100	
ARCN1	1	ENSG00000095139	
SOCS4	1	ENSG00000180008	
ZNF3	1	ENSG00000166526	
HLA-E	1	ENSG00000204592	
PHF3	1	ENSG00000118482	
FAM20B	1	ENSG00000116199	
RIC1	1	ENSG00000107036	
SESN3	1	ENSG00000149212	
TMEM33	1	ENSG00000109133	
USP47	1	ENSG00000170242	
RAB11FIP4	1	ENSG00000131242	
SLC35A3	1	ENSG00000117620	
ST13P18	1	ENSG00000234322	
ELOVL6	1	ENSG00000170522	
SERBP1	1	ENSG00000142864	
MORC3	1	ENSG00000159256	
DNAJB14	1	ENSG00000164031	
MEGF9	1	ENSG00000106780	
GORASP2	1	ENSG00000115806	
ACBD3	1	ENSG00000182827	
NACA3P	1	ENSG00000121089	
TSPYL2	1	ENSG00000184205	
SOCS6	1	ENSG00000170677	
TIGD6	1	ENSG00000164296	
ZNF639	1	ENSG00000121864	
MT-TP	1	ENSG00000210196	
RNF13	1	ENSG00000082996	
RHOU	1	ENSG00000116574	
GPRASP1	1	ENSG00000198932	
RAVER2	1	ENSG00000162437	
MAGT1	1	ENSG00000102158	
ICE1	1	ENSG00000164151	
FNIP1	1	ENSG00000217128	
GSK3B	1	ENSG00000082701	
RALGAPB	1	ENSG00000170471	
NSUN5P1	1	ENSG00000223705	
HNRNPA0	1	ENSG00000177733	
TFAM	1	ENSG00000108064	
PRKCSH	1	ENSG00000130175	
TMED5	1	ENSG00000117500	
COPG1	1	ENSG00000181789	
FNDC3A	1	ENSG00000102531	
MXRA7	1	ENSG00000182534	
C17orf80	1	ENSG00000141219	
ERLIN1	1	ENSG00000107566	
ZNF441	1	ENSG00000197044	
SRGAP1	1	ENSG00000196935	
GAK	1	ENSG00000178950	
TCEA1	1	ENSG00000187735	
ARFGEF1	1	ENSG00000066777	
GMPPA	1	ENSG00000144591	
NIPA1	1	ENSG00000170113	
TTC33	1	ENSG00000113638	
TAX1BP1	1	ENSG00000106052	
GABARAPL2	1	ENSG00000034713	
SOS1	1	ENSG00000115904	
ERP44	1	ENSG00000023318	
ISOC1	1	ENSG00000066583	
TIMM10B	1	ENSG00000132286	
IFNGR1	1	ENSG00000027697	
SPCS2P4	1	ENSG00000228589	
EMC2	1	ENSG00000104412	
TOPBP1	1	ENSG00000163781	
PTPN6	1	ENSG00000111679	
RER1	1	ENSG00000157916	
FAM199X	1	ENSG00000123575	
WDR7	1	ENSG00000091157	
TMEM268	1	ENSG00000157693	
NEK1	1	ENSG00000137601	
TMOD2	1	ENSG00000128872	
ARFIP1	1	ENSG00000164144	
GCC2	1	ENSG00000135968	
RPN1	1	ENSG00000163902	
ERO1B	1	ENSG00000086619	
DBT	1	ENSG00000137992	
TMEM65	1	ENSG00000164983	
PTPRF	1	ENSG00000142949	
ASXL2	1	ENSG00000143970	
MIB1	1	ENSG00000101752	
PTGR3	1	ENSG00000180011	
SLC49A4	1	ENSG00000138463	
TTC39A	1	ENSG00000085831	
BLTP3A	1	ENSG00000065060	
GTF3C3	1	ENSG00000119041	
NEBL	1	ENSG00000078114	
LANCL1	1	ENSG00000115365	
TENT2	1	ENSG00000164329	
ERO1A	1	ENSG00000197930	
PPP2R5C	1	ENSG00000078304	
LRRC58	1	ENSG00000163428	
FASTKD2	1	ENSG00000118246	
B4GALT1	1	ENSG00000086062	
GFPT1	1	ENSG00000198380	
MARVELD2	1	ENSG00000152939	
PIAS1	1	ENSG00000033800	
PRKAR2A	1	ENSG00000114302	
RNF146	1	ENSG00000118518	
GABBR1	1	ENSG00000204681	
PPP1R8	1	ENSG00000117751	
METTL9	1	ENSG00000197006	
FZD3	1	ENSG00000104290	
TMEM39A	1	ENSG00000176142	
OXR1	1	ENSG00000164830	
TMEM231	1	ENSG00000205084	
DDX17	1	ENSG00000100201	
SHISA5	1	ENSG00000164054	
TMEM37	1	ENSG00000171227	
NAA30	1	ENSG00000139977	
PCCA	1	ENSG00000175198	
KCTD20	1	ENSG00000112078	
SPEF2	1	ENSG00000152582	
CBLL1	1	ENSG00000105879	
MTMR14	1	ENSG00000163719	
GPR89A	1	ENSG00000117262	
CBR1	1	ENSG00000159228	
MINPP1	1	ENSG00000107789	
SLC9A7	1	ENSG00000065923	
TMEM254	1	ENSG00000133678	
CCNG1	1	ENSG00000113328	
ZMIZ1	1	ENSG00000108175	
RSF1	1	ENSG00000048649	
NBN	1	ENSG00000104320	
RABEP1	1	ENSG00000029725	
ABI2	1	ENSG00000138443	
TMEM38B	1	ENSG00000095209	
FAHD2A	1	ENSG00000115042	
PDCD6IP	1	ENSG00000170248	
TMEM230	1	ENSG00000089063	
GALC	1	ENSG00000054983	
PJA2	1	ENSG00000198961	
IL13RA1	1	ENSG00000131724	
COMMD8	1	ENSG00000169019	
CALU	1	ENSG00000128595	
LGALS3	1	ENSG00000131981	
QDPR	1	ENSG00000151552	
TXNDC12	1	ENSG00000117862	
ST3GAL1	1	ENSG00000008513	
USP48	1	ENSG00000090686	
SHPRH	1	ENSG00000146414	
UNC119B	1	ENSG00000175970	
ARHGAP21	1	ENSG00000107863	
UBN2	1	ENSG00000157741	
UFM1	1	ENSG00000120686	
CDON	1	ENSG00000064309	
HIBADH	1	ENSG00000106049	
APBA1	1	ENSG00000107282	
SLC46A3	1	ENSG00000139508	
ZBED5	1	ENSG00000236287	
PCNX1	1	ENSG00000100731	
ANGPT2	1	ENSG00000091879	
TMEM135	1	ENSG00000166575	
CYBRD1	1	ENSG00000071967	
COX7A2L	1	ENSG00000115944	
HM13	1	ENSG00000101294	
TRIM33	1	ENSG00000197323	
KREMEN1	1	ENSG00000183762	
SNAPC3	1	ENSG00000164975	
TENT5C	1	ENSG00000183508	
SUCLG2P2	1	ENSG00000236349	
VEGFA	1	ENSG00000112715	
OTUD4	1	ENSG00000164164	
SND1	1	ENSG00000197157	
INSIG1	1	ENSG00000186480	
TMEM123	1	ENSG00000152558	
CDK5RAP3	1	ENSG00000108465	
CYP4V2	1	ENSG00000145476	
IVNS1ABP	1	ENSG00000116679	
KCTD12	1	ENSG00000178695	
ST13	1	ENSG00000100380	
TMEM9B	1	ENSG00000175348	
CEP70	1	ENSG00000114107	
ZNF330	1	ENSG00000109445	
PTGR1	1	ENSG00000106853	
ZNF268	1	ENSG00000090612	
TOPORS	1	ENSG00000197579	
USF3	1	ENSG00000176542	
CILK1	1	ENSG00000112144	
TRAPPC8	1	ENSG00000153339	
MDGA1	1	ENSG00000112139	
COP1	1	ENSG00000143207	
NFATC4	1	ENSG00000100968	
SBNO1	1	ENSG00000139697	
TRPM7	1	ENSG00000092439	
PAIP2B	1	ENSG00000124374	
NECAP1	1	ENSG00000089818	
CNPY3	1	ENSG00000137161	
DESI2	1	ENSG00000121644	
TRAM1	1	ENSG00000067167	
CCDC91	1	ENSG00000123106	
BPNT2	1	ENSG00000104331	
MSL2	1	ENSG00000174579	
HMGN1	1	ENSG00000205581	
TMEM209	1	ENSG00000146842	
ZNF24	1	ENSG00000172466	
MYO9A	1	ENSG00000066933	
PTBP3	1	ENSG00000119314	
PELI1	1	ENSG00000197329	
EDC3	1	ENSG00000179151	
TSC22D3	1	ENSG00000157514	
CFAP298	1	ENSG00000159079	
SYPL1	1	ENSG00000008282	
PPP2CA	1	ENSG00000113575	
MTX3	1	ENSG00000177034	
WASHC2C	1	ENSG00000172661	
MXRA7P1	1	ENSG00000232320	
TOMM70	1	ENSG00000154174	
EIF1AX	1	ENSG00000173674	
STIP1P3	1	ENSG00000225536	
GRAMD1C	1	ENSG00000178075	
ZNF204P	1	ENSG00000204789	
RNF14	1	ENSG00000013561	
RBMXL1	1	ENSG00000213516	
ATXN7L3B	1	ENSG00000253719	
TMEM68	1	ENSG00000167904	
BTRC	1	ENSG00000166167	
XPO1	1	ENSG00000082898	
SLC3A2	1	ENSG00000168003	
TUT7	1	ENSG00000083223	
AGGF1	1	ENSG00000164252	
SPIN1	1	ENSG00000106723	
ZNF518A	1	ENSG00000177853	
TTC17	1	ENSG00000052841	
HACD3	1	ENSG00000074696	
ARMC8	1	ENSG00000114098	
KIAA0513	1	ENSG00000135709	
CDS2	1	ENSG00000101290	
KLHL5	1	ENSG00000109790	
RANBP10	1	ENSG00000141084	
AMOT	1	ENSG00000126016	
AMN1	1	ENSG00000151743	
OSBPL9	1	ENSG00000117859	
TBC1D9B	1	ENSG00000197226	
ZNF263	1	ENSG00000006194	
SIX4	1	ENSG00000100625	
MIER1	1	ENSG00000198160	
GUSB	1	ENSG00000169919	
RO60	1	ENSG00000116747	
DENND6A	1	ENSG00000174839	
BIRC2	1	ENSG00000110330	
SLF2	1	ENSG00000119906	
ACAD10	1	ENSG00000111271	
PREPL	1	ENSG00000138078	
STK38L	1	ENSG00000211455	
ZNF844	1	ENSG00000223547	
RLF	1	ENSG00000117000	
SRP72	1	ENSG00000174780	
ATF7	1	ENSG00000170653	
EIF2AK2	1	ENSG00000055332	
NOMO3	1	ENSG00000103226	
MPLKIP	1	ENSG00000168303	
BRPF3	1	ENSG00000096070	
EXOC2	1	ENSG00000112685	
MARCHF8	1	ENSG00000165406	
VLDLR	1	ENSG00000147852	
CEP120	1	ENSG00000168944	
GLOD4	1	ENSG00000167699	
VDAC2P5	1	ENSG00000172974	
UQCRC2	1	ENSG00000140740	
EIF3H	1	ENSG00000147677	
GTF2E2	1	ENSG00000197265	
ZNF672	1	ENSG00000171161	
SEPTIN3	1	ENSG00000100167	
MCU	1	ENSG00000156026	
PDIA4	1	ENSG00000155660	
C22orf39	1	ENSG00000242259	
SLK	1	ENSG00000065613	
RAB14	1	ENSG00000119396	
PRKACB	1	ENSG00000142875	
LDAH	1	ENSG00000118961	
CSE1L	1	ENSG00000124207	
USP40	1	ENSG00000085982	
WSB1	1	ENSG00000109046	
PM20D2	1	ENSG00000146281	
MIER3	1	ENSG00000155545	
CMAS	1	ENSG00000111726	
ETV3	1	ENSG00000117036	
SEC24A	1	ENSG00000113615	
CDC14A	1	ENSG00000079335	
ATF1	1	ENSG00000123268	
C2orf49	1	ENSG00000135974	
TPR	1	ENSG00000047410	
USP33	1	ENSG00000077254	
KRIT1	1	ENSG00000001631	
BEX2	1	ENSG00000133134	
P4HB	1	ENSG00000185624	
USP12	1	ENSG00000152484	
CCDC174	1	ENSG00000154781	
IL6ST	1	ENSG00000134352	
KIAA1143	1	ENSG00000163807	
HSP90B3P	1	ENSG00000203914	
UBR7	1	ENSG00000012963	
ARSK	1	ENSG00000164291	
PHKA1	1	ENSG00000067177	
SREK1IP1	1	ENSG00000153006	
HMGN2P5	1	ENSG00000234664	
VPS4A	1	ENSG00000132612	
SSX2IP	1	ENSG00000117155	
ANKRD28	1	ENSG00000206560	
IFT122	1	ENSG00000163913	
THAP9-AS1	1	ENSG00000251022	
ZFAND5	1	ENSG00000107372	
MOCS2	1	ENSG00000164172	
COBLL1	1	ENSG00000082438	
IGSF9	1	ENSG00000085552	
DTWD2	1	ENSG00000169570	
TTC3	1	ENSG00000182670	
PAQR3	1	ENSG00000163291	
EEF2K	1	ENSG00000103319	
ASAP3	1	ENSG00000088280	
RAB28	1	ENSG00000157869	
INTS6P1	1	ENSG00000250492	
HMGB2	1	ENSG00000164104	
GNPTAB	1	ENSG00000111670	
SLC39A3	1	ENSG00000141873	
NUCKS1	1	ENSG00000069275	
PLA2G7	1	ENSG00000146070	
ANKMY2	1	ENSG00000106524	
DAP3	1	ENSG00000132676	
TAB2	1	ENSG00000055208	
JADE1	1	ENSG00000077684	
TXNP6	1	ENSG00000234036	
TRIM4	1	ENSG00000146833	
HSPD1P1	1	ENSG00000213430	
KLHL7	1	ENSG00000122550	
EIF2S3	1	ENSG00000130741	
FAM136A	1	ENSG00000035141	
ZFP14	1	ENSG00000142065	
DCAF5	1	ENSG00000139990	
FBXL4	1	ENSG00000112234	
MTARC2	1	ENSG00000117791	
SYTL1	1	ENSG00000142765	
ELL2	1	ENSG00000118985	
COG2	1	ENSG00000135775	
C6orf62	1	ENSG00000112308	
RGS11	1	ENSG00000076344	
MBOAT2	1	ENSG00000143797	
TBL2	1	ENSG00000106638	
LRRN1	1	ENSG00000175928	
PPT1	1	ENSG00000131238	
CCSER2	1	ENSG00000107771	
VAMP4	1	ENSG00000117533	
PAK2	1	ENSG00000180370	
L3MBTL1	1	ENSG00000185513	
STK19	1	ENSG00000204344	
RSRP1	1	ENSG00000117616	
HTRA2	1	ENSG00000115317	
TM2D2	1	ENSG00000169490	
SLAIN2	1	ENSG00000109171	
RSAD1	1	ENSG00000136444	
PPP1R9A	1	ENSG00000158528	
PDPK1	1	ENSG00000140992	
SELENOS	1	ENSG00000131871	
DNAJC13	1	ENSG00000138246	
SMPDL3A	1	ENSG00000172594	
C6orf120	1	ENSG00000185127	
FYCO1	1	ENSG00000163820	
ARHGEF18	1	ENSG00000104880	
HSDL2	1	ENSG00000119471	
PFDN5	1	ENSG00000123349	
C5orf22	1	ENSG00000082213	
PXK	1	ENSG00000168297	
EIF2AK1	1	ENSG00000086232	
TRIM41	1	ENSG00000146063	
MKRN1	1	ENSG00000133606	
COG3	1	ENSG00000136152	
NBAS	1	ENSG00000151779	
SRBD1	1	ENSG00000068784	
TTN	1	ENSG00000155657	
R3HDM1	1	ENSG00000048991	
RUFY3	1	ENSG00000018189	
RNF168	1	ENSG00000163961	
ZFP62	1	ENSG00000196670	
MFAP3	1	ENSG00000037749	
ZNF562	1	ENSG00000171466	
SDCCAG8	1	ENSG00000054282	
GTPBP10	1	ENSG00000105793	
TMCO1	1	ENSG00000143183	
ZNF629	1	ENSG00000102870	
FIGNL1	1	ENSG00000132436	
TOGARAM1	1	ENSG00000198718	
TWF1P1	1	ENSG00000178082	
NSF	1	ENSG00000073969	
BTBD3	1	ENSG00000132640	
OSR1	1	ENSG00000143867	
DCAF8	1	ENSG00000132716	
DKC1	1	ENSG00000130826	
RAI14	1	ENSG00000039560	
SMARCA5	1	ENSG00000153147	
SPTLC1	1	ENSG00000090054	
SMAD5	1	ENSG00000113658	
MAPK10	1	ENSG00000109339	
IGIP	1	ENSG00000182700	
NEPRO	1	ENSG00000163608	
COG1	1	ENSG00000166685	
TRANK1	1	ENSG00000168016	
NPM1P6	1	ENSG00000213881	
FEM1B	1	ENSG00000169018	
HP1BP3	1	ENSG00000127483	
STMP1	1	ENSG00000243317	
ARID2	1	ENSG00000189079	
